VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
1,0,65,June,Tuesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,70,63,Male
1,0,157,June,Friday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,25,Male
2,0,139,June,Saturday,Interstate,Front-to-Front,Yes,Not Daylight,No/unknown,70,38,Male
1,0,57,June,Monday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,,65,Male
1,0,163,June,Sunday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,45,25,Male
3,0,49,June,Thursday,Local Street,Angle,No,Daylight,Yes,,21,Male
1,0,125,June,Tuesday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,40,21,Male
1,1,75,June,Sunday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,88,Male
2,0,115,June,Monday,County Road,Angle,No,Daylight,No/unknown,,49,Male
2,0,133,June,Friday,County Road,Angle,Yes,Daylight,Yes,,28,Male
1,1,25,June,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,55,,Unknown
1,0,147,June,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,36,Male
6,0,77,April,Tuesday,U.S. Highway,Front-to-Rear,No,Not Daylight,Yes,45,32,Male
2,0,163,June,Tuesday,Local Street,Angle,Yes,Not Daylight,Yes,30,23,Male
2,0,145,June,Wednesday,State Highway,Angle,No,Daylight,Yes,45,18,Male
4,0,99,May,Thursday,Local Street,Front-to-Rear,No,Daylight,No/unknown,40,63,Female
1,0,49,June,Saturday,Interstate,Not Col. Moving,No,Daylight,Yes,70,20,Male
1,0,57,June,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,14,Male
2,0,49,June,Sunday,State Highway,Angle,No,Not Daylight,No/unknown,,32,Male
1,1,163,June,Sunday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,,Unknown
2,0,17,June,Tuesday,County Road,Angle,No,Daylight,No/unknown,,57,Male
1,1,163,June,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
2,0,45,June,Thursday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,78,Male
1,0,145,June,Saturday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,45,40,Male
1,0,145,June,Saturday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,35,37,Male
1,0,25,June,Friday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,25,Male
2,0,91,June,Wednesday,County Road,Front-to-Front,No,Daylight,No/unknown,55,54,Male
2,0,41,June,Sunday,State Highway,Other,No,Daylight,No/unknown,,15,Male
1,0,163,April,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,18,Male
2,0,25,June,Saturday,State Highway,Angle,No,Daylight,Yes,,28,Male
3,0,91,June,Friday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,55,60,Male
1,1,49,May,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,46,Male
2,0,125,June,Saturday,Local Street,Front-to-Front,Yes,Not Daylight,No/unknown,45,55,Male
2,0,125,June,Thursday,Local Street,Angle,Yes,Daylight,No/unknown,45,26,Female
1,1,55,June,Saturday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,60,Male
2,0,15,June,Monday,County Road,Front-to-Rear,Yes,Not Daylight,No/unknown,55,53,Male
2,0,99,June,Sunday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,50,21,Male
1,0,99,June,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,25,23,Male
2,0,155,June,Wednesday,State Highway,Front-to-Front,Yes,Not Daylight,No/unknown,55,24,Male
2,0,65,June,Saturday,Local Street,Angle,No,Daylight,No/unknown,,33,Male
1,0,125,June,Monday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,50,70,Male
1,1,125,June,Thursday,County Road,Not Col. Moving,No,Daylight,No/unknown,25,58,Male
1,0,115,June,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,18,Male
1,0,163,June,Tuesday,Local Street,Not Col. Moving,Yes,Daylight,Yes,25,35,Female
2,0,125,June,Wednesday,Interstate,Front-to-Rear,No,Daylight,No/unknown,70,42,Male
2,0,5,June,Wednesday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,55,59,Male
2,0,151,April,Friday,State Highway,Front-to-Rear,Yes,Not Daylight,No/unknown,55,37,Male
1,0,81,May,Wednesday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,25,27,Male
2,0,125,June,Tuesday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,50,56,Male
2,0,103,June,Thursday,U.S. Highway,Angle,No,Daylight,No/unknown,55,64,Male
2,0,125,June,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,50,57,Female
1,0,107,July,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,54,Male
1,1,81,July,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,43,Male
2,0,125,July,Tuesday,County Road,Front-to-Front,No,Daylight,No/unknown,50,76,Female
2,0,147,July,Saturday,County Road,Front-to-Front,No,Daylight,No/unknown,40,31,Male
2,0,115,June,Friday,U.S. Highway,Front-to-Front,No,Daylight,No/unknown,55,31,Male
1,1,99,June,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,49,Female
2,0,139,July,Sunday,Interstate,Front-to-Rear,No,Daylight,No/unknown,60,50,Male
2,0,41,July,Monday,U.S. Highway,Front-to-Front,No,Daylight,No/unknown,55,83,Male
1,0,47,June,Monday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,64,Male
2,0,81,July,Tuesday,County Road,Angle,No,Daylight,No/unknown,40,90,Male
1,0,49,June,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,45,44,Female
1,0,125,June,Thursday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,40,23,Male
1,1,125,June,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,67,Male
1,1,163,June,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,58,Male
2,0,59,June,Sunday,U.S. Highway,Front-to-Front,Yes,Daylight,No/unknown,55,66,Male
2,0,49,July,Thursday,Local Street,Angle,No,Daylight,No/unknown,,26,Male
1,0,121,July,Sunday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,58,Male
1,1,49,July,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,22,Female
2,0,15,July,Thursday,State Highway,Angle,No,Daylight,No/unknown,,90,Male
1,0,11,June,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,51,Male
2,0,125,June,Friday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,34,Male
2,0,19,July,Friday,U.S. Highway,Front-to-Front,No,Daylight,No/unknown,55,29,Male
1,0,99,June,Sunday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,22,Male
1,0,157,July,Saturday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,48,Male
2,0,49,July,Sunday,Local Street,Front-to-Rear,No,Daylight,No/unknown,45,26,Male
1,0,163,June,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,49,Male
1,0,115,July,Tuesday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,45,67,Male
1,1,31,July,Thursday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,22,Male
4,0,163,July,Saturday,Local Street,Angle,Yes,Not Daylight,No/unknown,,25,Male
2,0,81,July,Friday,County Road,Angle,Yes,Daylight,Yes,55,82,Male
2,0,161,July,Thursday,U.S. Highway,Angle,Yes,Daylight,Yes,70,19,Male
1,0,115,July,Monday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,49,Male
2,0,165,July,Tuesday,State Highway,Angle,No,Not Daylight,No/unknown,55,35,Male
2,1,125,July,Saturday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,50,Male
1,0,123,July,Monday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,52,Male
1,1,165,July,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,36,Female
1,1,125,July,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,18,Male
2,0,81,July,Friday,Local Street,Angle,No,Not Daylight,No/unknown,,27,Male
2,0,27,July,Monday,U.S. Highway,Front-to-Front,No,Daylight,No/unknown,55,73,Male
2,0,147,July,Thursday,State Highway,Angle,No,Daylight,No/unknown,,15,Male
1,0,163,July,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,25,26,Male
1,1,81,July,Wednesday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,61,Male
2,0,139,July,Thursday,Interstate,Front-to-Front,Yes,Daylight,No/unknown,70,32,Female
1,0,49,July,Saturday,Interstate,Not Col. Moving,No,Not Daylight,Yes,35,32,Male
1,0,147,July,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,31,Female
2,0,5,July,Saturday,County Road,Angle,No,Daylight,No/unknown,55,22,Male
2,0,59,July,Tuesday,U.S. Highway,Angle,No,Daylight,Yes,40,19,Male
1,1,163,July,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,1,163,July,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,58,Female
2,0,163,July,Tuesday,Local Street,Angle,No,Daylight,Yes,30,35,Male
1,0,115,July,Thursday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,50,Female
3,0,111,July,Friday,State Highway,Front-to-Rear,No,Daylight,No/unknown,55,39,Female
1,1,163,July,Sunday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,44,Male
1,1,163,July,Thursday,Local Street,Not Col. Moving,No,Daylight,Yes,25,,Unknown
2,0,21,July,Friday,U.S. Highway,Front-to-Front,No,Not Daylight,No/unknown,55,28,Male
1,0,121,July,Thursday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,62,Male
1,0,27,July,Thursday,State Highway,Not Col. Moving,No,Daylight,Yes,55,71,Male
2,0,157,July,Thursday,County Road,Angle,No,Not Daylight,No/unknown,,18,Male
1,1,99,January,Monday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,70,,Unknown
1,0,115,July,Wednesday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,17,Male
2,0,81,July,Wednesday,State Highway,Front-to-Front,Yes,Not Daylight,Yes,55,21,Male
4,0,161,July,Thursday,U.S. Highway,Front-to-Rear,No,Daylight,No/unknown,55,28,Male
1,0,163,July,Thursday,Local Street,Not Col. Moving,No,Not Daylight,Yes,,18,Male
1,0,163,July,Friday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,35,25,Male
2,0,73,July,Thursday,County Road,Angle,No,Daylight,No/unknown,,73,Male
2,0,81,July,Thursday,Local Street,Not Col. Moving,No,Daylight,Yes,40,32,Male
2,0,27,July,Saturday,State Highway,Angle,No,Not Daylight,Yes,55,19,Male
2,0,147,July,Saturday,County Road,Angle,Yes,Not Daylight,No/unknown,,36,Male
2,0,123,July,Saturday,County Road,Front-to-Front,No,Not Daylight,No/unknown,55,41,Male
2,0,147,July,Sunday,County Road,Front-to-Front,Yes,Not Daylight,Yes,,23,Male
1,0,161,July,Sunday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,55,26,Male
2,0,99,July,Saturday,Local Street,Angle,Yes,Not Daylight,No/unknown,,16,Female
2,0,125,July,Tuesday,Local Street,Angle,No,Not Daylight,No/unknown,,48,Male
2,0,147,July,Sunday,Interstate,Front-to-Rear,Yes,Not Daylight,No/unknown,70,28,Male
1,0,91,July,Tuesday,U.S. Highway,Not Col. Moving,No,Not Daylight,Yes,55,39,Male
2,0,105,July,Thursday,State Highway,Angle,No,Daylight,No/unknown,55,19,Female
1,0,139,July,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,21,Male
1,1,149,July,Sunday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,57,Female
2,0,163,July,Monday,Local Street,Angle,No,Not Daylight,No/unknown,,22,Male
1,0,65,July,Tuesday,County Road,Not Col. Moving,No,Not Daylight,Yes,45,18,Male
1,0,23,July,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,40,70,Female
1,0,115,July,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,21,Male
2,0,147,July,Thursday,County Road,Angle,No,Daylight,Yes,45,26,Male
1,1,163,July,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,19,Female
1,0,115,July,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,29,Male
1,1,9,July,Friday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,55,72,Male
1,1,49,July,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,29,Female
2,0,99,July,Sunday,Unknown,Angle,No,Not Daylight,No/unknown,,24,Male
1,0,27,July,Friday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,45,Male
1,0,99,July,Wednesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,50,Male
1,0,163,July,Sunday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,22,Male
3,0,81,July,Saturday,County Road,Angle,No,Daylight,No/unknown,55,60,Male
1,0,71,May,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Female
3,0,121,June,Saturday,County Road,Angle,No,Daylight,No/unknown,,17,Male
1,0,163,June,Sunday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,35,28,Male
1,1,139,July,Friday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,,Unknown
1,0,163,July,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,20,Male
2,0,157,August,Friday,State Highway,Angle,No,Daylight,No/unknown,55,63,Female
3,0,45,August,Sunday,State Highway,Front-to-Front,Yes,Daylight,No/unknown,55,23,Female
1,0,123,June,Sunday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,48,Male
2,0,139,August,Sunday,Local Street,Front-to-Front,Yes,Not Daylight,No/unknown,35,30,Male
1,0,93,August,Monday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,35,26,Male
1,1,161,June,Thursday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,69,Male
2,0,163,August,Monday,Local Street,Angle,No,Daylight,Yes,30,25,Male
2,0,65,August,Saturday,County Road,Angle,No,Daylight,No/unknown,,38,Male
2,0,5,June,Saturday,County Road,Angle,Yes,Not Daylight,Yes,,19,Male
2,0,49,August,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,45,21,Male
1,1,145,August,Friday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,17,Male
2,0,73,July,Tuesday,County Road,Front-to-Front,Yes,Daylight,No/unknown,,23,Female
1,0,117,August,Monday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,19,Male
2,0,81,August,Tuesday,State Highway,Angle,No,Not Daylight,No/unknown,55,28,Male
1,0,57,August,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,No/unknown,55,51,Male
1,2,139,August,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,22,Male
2,0,125,July,Sunday,Local Street,Sideswipe,Yes,Daylight,Yes,25,44,Male
2,0,63,August,Monday,County Road,Angle,No,Daylight,No/unknown,,31,Male
2,0,163,August,Tuesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,24,Male
2,0,139,August,Wednesday,Local Street,Angle,No,Daylight,Yes,,61,Male
1,1,25,August,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,84,Male
1,0,9,August,Saturday,State Highway,Not Col. Moving,Yes,Daylight,Yes,55,24,Male
1,0,93,August,Saturday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,24,Male
2,0,65,August,Saturday,County Road,Angle,No,Daylight,No/unknown,45,25,Female
2,0,87,August,Saturday,County Road,Angle,No,Daylight,No/unknown,,80,Female
2,0,157,August,Monday,County Road,Angle,Yes,Not Daylight,No/unknown,,17,Male
1,1,99,August,Sunday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,19,Female
2,0,125,August,Wednesday,Local Street,Angle,Yes,Daylight,No/unknown,35,62,Male
1,1,163,August,Sunday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,,Unknown
1,0,163,August,Thursday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,,Male
1,0,161,August,Saturday,County Road,Not Col. Moving,No,Not Daylight,Yes,40,27,Male
2,0,81,August,Tuesday,State Highway,Angle,No,Daylight,No/unknown,,83,Female
1,0,103,August,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,30,42,Male
2,0,115,August,Wednesday,Interstate,Front-to-Front,No,Not Daylight,Yes,70,29,Male
2,0,151,August,Thursday,Local Street,Front-to-Front,No,Daylight,No/unknown,35,78,Female
1,1,73,August,Sunday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,86,Male
1,0,151,August,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,55,35,Male
1,1,163,August,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,31,Male
2,0,15,August,Thursday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,49,Female
1,0,111,August,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,25,Male
2,0,49,August,Thursday,Local Street,Front-to-Front,No,Not Daylight,Yes,25,25,Female
2,0,149,August,Wednesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,51,Male
2,0,87,August,Sunday,Local Street,Angle,No,Daylight,No/unknown,35,80,Female
1,0,163,August,Friday,Interstate,Not Col. Moving,Yes,Not Daylight,Yes,70,24,Male
1,0,145,August,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,53,Male
1,0,95,August,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,57,Male
2,0,139,August,Monday,County Road,Angle,No,Not Daylight,Yes,45,24,Male
1,1,55,August,Monday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,35,17,Male
3,0,163,August,Sunday,State Highway,Angle,No,Not Daylight,Yes,,47,Female
2,0,115,August,Monday,U.S. Highway,Angle,No,Daylight,No/unknown,,22,Female
1,0,163,August,Friday,State Highway,Not Col. Moving,No,Daylight,Yes,55,21,Male
1,0,81,August,Thursday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,25,56,Male
1,1,163,August,Sunday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,,Unknown
1,1,125,August,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,20,Female
2,0,99,August,Thursday,State Highway,Angle,No,Daylight,No/unknown,,36,Female
1,0,67,August,Monday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,62,Male
2,0,103,August,Friday,U.S. Highway,Angle,No,Daylight,No/unknown,55,19,Female
2,0,161,June,Friday,County Road,Front-to-Rear,Yes,Not Daylight,No/unknown,55,35,Male
2,0,89,August,Saturday,County Road,Angle,No,Not Daylight,Yes,,16,Male
1,0,49,August,Saturday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,23,Male
1,0,35,July,Monday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,69,Male
1,1,81,June,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,31,Male
1,1,121,August,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,63,Male
2,0,15,August,Wednesday,State Highway,Angle,No,Daylight,No/unknown,55,82,Male
1,1,165,August,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,61,Male
1,0,99,August,Sunday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,31,Male
2,0,159,August,Thursday,County Road,Front-to-Front,No,Daylight,No/unknown,55,66,Male
1,0,21,August,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,25,31,Male
1,1,125,August,Sunday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,50,20,Female
1,1,37,September,Tuesday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,23,Female
1,1,163,July,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,21,Female
1,1,139,August,Friday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,18,Female
1,0,121,August,Thursday,Local Street,Not Col. Moving,No,Daylight,Yes,25,18,Male
1,0,67,August,Friday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,74,Male
2,0,87,September,Wednesday,Interstate,Front-to-Front,Yes,Not Daylight,No/unknown,70,53,Female
1,0,163,August,Tuesday,Interstate,Not Col. Moving,No,Daylight,Yes,55,20,Male
1,0,163,August,Sunday,Interstate,Not Col. Moving,Yes,Not Daylight,Yes,70,21,Female
2,0,123,September,Thursday,County Road,Angle,No,Not Daylight,No/unknown,,18,Male
1,0,81,August,Saturday,Local Street,Not Col. Moving,Yes,Daylight,No/unknown,25,92,Male
2,0,163,August,Sunday,Local Street,Angle,No,Not Daylight,No/unknown,,60,Male
1,1,21,September,Wednesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,75,Male
2,0,157,September,Friday,County Road,Angle,No,Daylight,No/unknown,55,91,Male
1,0,77,August,Thursday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,17,Female
2,0,139,September,Friday,Interstate,Front-to-Front,No,Daylight,No/unknown,70,83,Male
1,0,7,September,Sunday,County Road,Not Col. Moving,No,Not Daylight,Yes,55,16,Female
1,0,163,September,Saturday,Local Street,Not Col. Moving,No,Daylight,No/unknown,35,24,Male
1,0,91,August,Friday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,54,Male
1,0,163,February,Wednesday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,30,28,Male
2,0,155,September,Sunday,County Road,Sideswipe,No,Daylight,Yes,55,68,Male
1,0,115,September,Thursday,Local Street,Not Col. Moving,Yes,Not Daylight,No/unknown,55,20,Female
2,0,81,September,Saturday,Local Street,Angle,No,Daylight,No/unknown,,22,Male
1,1,163,August,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,,Unknown
2,0,165,September,Saturday,State Highway,Angle,Yes,Not Daylight,Yes,55,24,Male
1,0,163,September,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,32,Male
1,0,101,September,Thursday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,89,Male
1,1,125,September,Friday,State Highway,Not Col. Moving,No,Daylight,No/unknown,35,19,Female
1,0,45,September,Saturday,County Road,Not Col. Moving,Yes,Daylight,No/unknown,55,48,Female
1,1,163,September,Saturday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,1,125,September,Friday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,40,69,Male
1,1,125,July,Wednesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,,48,Male
2,0,163,July,Saturday,Local Street,Angle,No,Not Daylight,Yes,,,Unknown
4,0,139,September,Tuesday,State Highway,Angle,No,Daylight,No/unknown,,68,Male
2,0,35,September,Monday,County Road,Angle,Yes,Daylight,No/unknown,,29,Female
2,0,81,September,Wednesday,County Road,Angle,Yes,Not Daylight,No/unknown,,26,Male
2,0,65,September,Tuesday,State Highway,Front-to-Front,No,Not Daylight,No/unknown,55,31,Male
2,0,81,September,Thursday,State Highway,Angle,No,Not Daylight,Yes,,25,Male
2,0,99,September,Monday,Local Street,Angle,No,Not Daylight,No/unknown,35,28,Female
1,0,163,September,Thursday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,70,27,Male
2,0,51,September,Thursday,State Highway,Front-to-Rear,No,Daylight,No/unknown,55,65,Male
3,0,163,September,Friday,Interstate,Front-to-Rear,Yes,Not Daylight,Yes,70,26,Male
1,0,81,July,Tuesday,State Highway,Not Col. Moving,No,Daylight,No/unknown,55,66,Female
1,0,121,September,Sunday,Interstate,Not Col. Moving,No,Not Daylight,Yes,70,19,Male
1,1,99,September,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,45,,Unknown
1,0,125,September,Monday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,45,46,Male
2,0,163,September,Monday,Local Street,Angle,Yes,Daylight,Yes,35,22,Male
1,1,163,September,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,35,21,Female
1,1,163,September,Tuesday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,40,29,Male
1,0,125,September,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,40,21,Male
1,0,23,September,Saturday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,25,23,Male
2,0,59,September,Sunday,State Highway,Angle,No,Daylight,No/unknown,,21,Male
1,0,21,September,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,35,22,Male
2,0,93,September,Friday,County Road,Front-to-Front,No,Not Daylight,No/unknown,,53,Male
3,0,75,September,Tuesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,55,58,Male
1,0,49,September,Friday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,46,Male
2,0,31,September,Wednesday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,36,Female
1,0,159,September,Sunday,County Road,Not Col. Moving,Yes,Not Daylight,No/unknown,55,31,Male
2,0,81,September,Sunday,Local Street,Front-to-Rear,No,Daylight,No/unknown,35,74,Male
2,0,125,September,Sunday,Interstate,Front-to-Rear,No,Daylight,Yes,70,27,Male
1,0,87,September,Sunday,Local Street,Not Col. Moving,Yes,Daylight,No/unknown,25,28,Male
2,0,55,September,Saturday,County Road,Front-to-Front,Yes,Not Daylight,No/unknown,55,19,Male
2,0,81,September,Sunday,Interstate,Front-to-Front,Yes,Not Daylight,No/unknown,70,40,Female
1,0,163,September,Saturday,State Highway,Not Col. Moving,No,Not Daylight,Yes,30,21,Male
2,0,21,September,Tuesday,State Highway,Angle,No,Not Daylight,No/unknown,55,21,Male
1,1,163,September,Monday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,55,61,Male
1,0,47,September,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,29,Male
2,0,163,September,Wednesday,Interstate,Other,No,Not Daylight,No/unknown,60,66,Male
1,0,81,September,Sunday,Interstate,Not Col. Moving,Yes,Daylight,No/unknown,70,59,Male
2,0,99,September,Sunday,County Road,Angle,No,Not Daylight,No/unknown,45,52,Male
2,0,123,September,Saturday,County Road,Angle,No,Not Daylight,No/unknown,55,22,Female
2,0,65,September,Thursday,U.S. Highway,Front-to-Front,Yes,Not Daylight,No/unknown,70,18,Female
3,0,163,September,Sunday,State Highway,Sideswipe,Yes,Not Daylight,No/unknown,35,,Unknown
1,1,115,September,Tuesday,U.S. Highway,Not Col. Moving,No,Daylight,No/unknown,35,51,Female
1,0,49,September,Saturday,Interstate,Not Col. Moving,Yes,Not Daylight,No/unknown,70,73,Male
2,0,5,June,Sunday,State Highway,Front-to-Front,No,Daylight,No/unknown,55,23,Female
1,1,145,August,Saturday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,25,50,Male
1,0,163,September,Tuesday,Interstate,Not Col. Moving,No,Not Daylight,No/unknown,55,33,Male
1,0,115,October,Friday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,35,21,Male
1,1,123,September,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,35,,Unknown
1,1,67,October,Sunday,State Highway,Not Col. Moving,No,Not Daylight,No/unknown,55,33,Male
2,0,39,September,Monday,State Highway,Angle,No,Daylight,No/unknown,35,60,Female
